"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Dropdown Interactions","0","Dropdown","8","0","Dropdown behaviour","0"
"0","iFrame Interactions","0","iFrame","6","0","iFrame behaviour","0"
"0","Dynamic Content Interactions","0","Dynamic Content","7","0","Dynamic Content behaviour","0"
"0","Drag and Drop Interactions","0","Drag and Drop","11","0","Drag and Drop behaviour","0"
"0","Key Presses Interactions","0","Key Presses","5","0","Key Presses behaviour","0"
"0","Notification Messages Interactions","0","Notification Messages","7","0","Notification Messages behaviour","0"
"0","Exit Intent Interactions","0","Exit Intent","5","0","Exit Intent behaviour","0"
"0","JavaScript Alerts Interactions","0","JavaScript Alerts","7","0","JavaScript Alerts behaviour","0"
"0","Large Deep Dom Interactions","0","Large Deep Dom","3","0","Large Deep Dom behaviour","0"
"0","Redirect Link Interactions","0","Redirect Link","5","0","Redirect Link behaviour","0"
"0","Multiple Windows Interactions","0","Multiple Windows","12","0","Multiple Windows behaviour","0"
"0","JavaScript onload event error Interactions","0","JavaScript onload event error","4","0","JavaScript onload event error behaviour","0"
"0","Horizontal Slider Interactions","0","Horizontal Slider","7","0","Horizontal Slider behaviour","0"
"0","Form Interactions","0","Checkboxes","3","0","Controlled Select All group","0"
"0","Disappearing Elements Interactions","0","Disappearing Elements","9","0","Disappearing Elements behaviour","0"
"0","A/B Testing Interactions","0","A/B Testing","5","0","A/B Testing behaviour","0"
"0","Broken Images Interactions","0","Broken Images","5","0","Broken Images behaviour","0"
"0","Nested Frames Interactions","0","Nested Frames","11","0","Nested Frames behaviour","0"
"0","Menus Interactions","0","Menus","12","0","Menus behaviour","0"
"0","Form Interactions","0","Checkboxes","5","0","Basic checkbox behaviour","0"
"0","Shifting Content Interactions","0","Shifting Content","8","0","Shifting Content behaviour","0"
"0","File Download Interactions","0","File Download","5","0","File Download behaviour","0"
"0","Basic Auth Interactions","0","Basic Auth","1","0","Basic Auth behaviour","0"
"0","Dynamic Loading Interactions","0","Dynamic Loading","7","0","Dynamic Loading behaviour","0"
"0","Shadow Dom Interactions","0","Shadow Dom","8","0","Shadow Dom behaviour","0"
"0","Floating Menu Interactions","0","Floating Menu","5","0","Floating Menu behaviour","0"
"0","Geolocation Interactions","0","Geolocation","4","0","Geolocation behaviour","0"
"0","Entry Ad Interactions","0","Entry Ad","5","0","Entry Ad behaviour","0"
"0","Context Menu Interactions","0","Context Menu","5","0","Context Menu behaviour","0"
"0","","0","Sortable Data Tables","8","0","","0"
"0","Dynamic Controls Interactions","0","Dynamic Controls","7","0","Dynamic Controls behaviour","0"
"0","Inputs Interactions","0","Inputs","5","0","Inputs behaviour","0"
"0","Hovers Interactions","0","Hovers","5","0","Hovers behaviour","0"
"0","File Upload Interactions","0","File Upload","5","0","File Upload behaviour","0"
"0","Secure File Download Interactions","0","Secure File Download","6","0","Secure File Download behaviour","0"
"0","Slow Resources Interactions","0","Slow Resources","3","0","Slow Resources behaviour","0"
"0","Add/Remove Elements Interactions","0","Add/Remove Elements","8","0","Add/Remove Elements behaviour","0"
"0","Challenging DOM Interactions","0","Challenging DOM","4","0","Challenging DOM behaviour","0"
"0","Stale Element Interactions","0","Stale Element","6","0","Stale Element behaviour","0"
"0","Infinite Scroll Interactions","0","Infinite Scroll","6","0","Infinite Scroll behaviour","0"
