"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that hovering over User 2 image shows the caption.
        ","1365","test_user_2_caption_visible_on_hover[chromium]","tests","2026-09-12","passed","2026-09-12","TestHoversPage","test_hovers_page","",""
"
        Test that the Dynamic Content heading is visible.
        ","1409","test_page_heading_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that the JavaScript Alerts heading is visible.
        ","877","test_page_heading_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that the Redirect Link heading is visible.
        ","888","test_page_heading_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestRedirectLinkPage","test_redirect_link_page","",""
"
        Test that the static page heading and description text are correct
        regardless of A/B version.
        ","903","test_page_heading_and_description_text_are_correct[chromium]","tests","2026-09-12","passed","2026-09-12","TestABTestingPage","test_ab_testing_page","",""
"
        Test that the parent checkbox inside the parent frame is visible.
        ","914","test_parent_checkbox_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestNestedFramesPage","test_nested_frames_page","",""
"
        Test that clicking Click Here opens a new window.
        ","2295","test_click_here_opens_new_window[chromium]","tests","2026-09-12","passed","2026-09-12","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that clicking Disable disables the text input.
        ","886","test_disable_text_input[chromium]","tests","2026-09-12","passed","2026-09-12","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that the exit intent modal has body text.
        ","870","test_modal_has_body_text[chromium]","tests","2026-09-12","passed","2026-09-12","TestExitIntentPage","test_exit_intent_page","",""
"
        Test that the Back to Home link is visible on the page.
        ","919","test_back_to_home_link_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestNestedFramesPage","test_nested_frames_page","",""
"
        Test that searching for Next.js in the combobox and selecting it updates the button text.
        ","1709","test_combobox_search_and_select_nextjs[chromium]","tests","2026-09-12","passed","2026-09-12","TestDropdownPage","test_dropdown_page","",""
"Test that get_list_item_count returns the correct count.","839","test_list_item_count_method[chromium]","tests","2026-09-12","passed","2026-09-12","TestShiftingContentPage","test_shifting_content_page","",""
"
        Test that the parent frame heading has the correct text ""Parent Frame"".
        ","1417","test_parent_frame_heading_text[chromium]","tests","2026-09-12","passed","2026-09-12","TestNestedFramesPage","test_nested_frames_page","",""
"
        Test that the iFrame page heading is visible.
        ","924","test_page_heading_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestIFramePage","test_iframe_page","",""
"Test removing a single element removes only that button.","1006","test_remove_single_element[chromium]","tests","2026-09-12","passed","2026-09-12","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
"
        Test that the Key Presses heading is visible.
        ","869","test_page_heading_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestKeyPressesPage","test_key_presses_page","",""
"
        Test that after dropping the item in column B, it is a child of column B.
        ","1938","test_verify_item_in_column_b_after_drop[chromium]","tests","2026-09-12","passed","2026-09-12","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that clicking Enable enables the text input.
        ","833","test_enable_text_input[chromium]","tests","2026-09-12","passed","2026-09-12","TestDynamicControlsPage","test_dynamic_controls_page","",""
"Test that all three example section headings are visible.","420","test_example_headings_are_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestShiftingContentPage","test_shifting_content_page","",""
"
        Test that the page heading is visible.
        ","1383","test_page_heading_is_visible[chromium]","tests","2026-09-12","passed","2026-09-12","TestEntryAdPage","test_entry_ad_page","",""
"
        Test that the floating menu hides when scrolling down.
        ","1095","test_menu_hides_on_scroll_down[chromium]","tests","2026-09-12","passed","2026-09-12","TestFloatingMenuPage","test_floating_menu_page","",""
"
        Test that clicking the Close button dismisses the modal.
        ","2202","test_close_modal[chromium]","tests","2026-09-12","passed","2026-09-12","TestEntryAdPage","test_entry_ad_page","",""
"
        Test that clicking JS Confirm and dismissing it shows the Cancel message.
        ","1858","test_handle_js_confirm_dismiss[chromium]","tests","2026-09-12","passed","2026-09-12","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"Test adding a single element creates exactly one delete button.","820","test_add_one_element[chromium]","tests","2026-09-12","passed","2026-09-12","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
