"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that the instruction text is visible.
        ","1392","test_instruction_text_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that the instruction text is visible.
        ","879","test_instruction_text_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestKeyPressesPage","test_key_presses_page","",""
"
        Test that broken images fail to load (naturalWidth == 0).
        ","1362","test_broken_images_fail_to_load[chromium]","tests","2026-08-05","passed","2026-08-05","TestBrokenImagesPage","test_broken_images_page","",""
"
        Test that right-clicking the hot-spot area triggers the custom context menu.
        ","1840","test_right_click_triggers_context_menu[chromium]","tests","2026-08-05","passed","2026-08-05","TestContextMenuPage","test_context_menu_page","",""
"
        Test that clicking Enable enables the text input.
        ","1834","test_enable_text_input[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that the text input is disabled by default.
        ","1401","test_text_input_is_disabled_initially[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that clicking Click Here opens a new window.
        ","3533","test_click_here_opens_new_window[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that checking all items individually checks Select All.
        ","1436","test_checking_all_items_checks_select_all[chromium]","tests","2026-08-05","passed","2026-08-05","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that all input fields are visible on the page.
        ","903","test_all_input_fields_are_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestInputsPage","test_inputs_page","",""
"
        Test that the file input element is present in the DOM.
        File inputs are typically hidden but should be attached.
        ","1394","test_file_input_is_present[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileUploadPage","test_file_upload_page","",""
"
        Test that the new window navigates to the correct URL.
        ","2808","test_new_window_url_is_correct[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that the modal has body text.
        ","2846","test_modal_has_body_text[chromium]","tests","2026-08-05","passed","2026-08-05","TestEntryAdPage","test_entry_ad_page","",""
"
        Test that the Inputs page heading is visible.
        ","876","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestInputsPage","test_inputs_page","",""
"
        Test that the Hovers heading is visible.
        ","1413","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestHoversPage","test_hovers_page","",""
"
        Test that the exit intent modal has body text.
        ","886","test_modal_has_body_text[chromium]","tests","2026-08-05","passed","2026-08-05","TestExitIntentPage","test_exit_intent_page","",""
"
        Test that dragging the item from column B back to column A works.
        ","1997","test_drag_item_back_to_column_a[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that pressing a special key (Enter) displays the correct result.
        ","1818","test_send_special_key[chromium]","tests","2026-08-05","passed","2026-08-05","TestKeyPressesPage","test_key_presses_page","",""
"
        Test that content items are visible on the page.
        ","1802","test_content_items_are_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that the three challenge buttons are present, visible, and clickable.
        ","1945","test_buttons_are_present_and_interactable[chromium]","tests","2026-08-05","passed","2026-08-05","TestChallengingDomPage","test_challenging_dom_page","",""
"
        Test that multiple consecutive scrolls continue to load more content.
        ","2171","test_multiple_scrolls_load_incremental_content[chromium]","tests","2026-08-05","passed","2026-08-05","TestInfiniteScrollPage","test_infinite_scroll_page","",""
"
        Test that the instruction text is visible.
        ","1385","test_instruction_text_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that clicking JS Prompt, entering text, and accepting it shows the entered text.
        ","842","test_handle_js_prompt_accept[chromium]","tests","2026-08-05","passed","2026-08-05","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that dragging the item from column C back to column A works.
        ","1996","test_drag_item_from_c_to_a[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that initial paragraphs are present on page load.
        ","900","test_initial_paragraphs_present[chromium]","tests","2026-08-05","passed","2026-08-05","TestInfiniteScrollPage","test_infinite_scroll_page","",""
"
        Test that checkbox1 is unchecked by default and checkbox2 is checked by default.
        ","1416","test_default_checkbox_states[chromium]","tests","2026-08-05","passed","2026-08-05","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that clicking JS Prompt and dismissing it shows the null message.
        ","858","test_handle_js_prompt_dismiss[chromium]","tests","2026-08-05","passed","2026-08-05","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that the page heading is visible.
        ","12","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestGeolocationPage","test_geolocation_page","",""
"
        Test that the Where am I? button is visible.
        ","1904","test_where_am_i_button_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestGeolocationPage","test_geolocation_page","",""
"Test that the Basic Auth page loads.","1898","test_basic_auth_page_loads[chromium]","tests","2026-08-05","passed","2026-08-05","TestBasicAuthPage","test_basic_auth_page","",""
"
        Test that refreshing the page changes the displayed content.
        ","5488","test_content_changes_on_refresh[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that the page heading is visible.
        ","11","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestExitIntentPage","test_exit_intent_page","",""
"
        Test that clicking JS Alert and accepting it shows the success message.
        ","837","test_handle_js_alert[chromium]","tests","2026-08-05","passed","2026-08-05","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that clicking the stale button shows the success message.

        Playwright auto-retries actions on stale element references,
        so it should succeed despite the 150ms re-render interval.
        ","850","test_click_stale_button_shows_success_message[chromium]","tests","2026-08-05","passed","2026-08-05","TestStaleElementPage","test_stale_element_page","",""
"
        Test that selecting Banana from the simple dropdown updates the confirmation text.
        ","974","test_simple_dropdown_select_banana[chromium]","tests","2026-08-05","passed","2026-08-05","TestDropdownPage","test_dropdown_page","",""
"
        Test switching to iFrame and retrieving text content.
        ","828","test_switch_to_iframe_and_get_text[chromium]","tests","2026-08-05","passed","2026-08-05","TestIFramePage","test_iframe_page","",""
"
        Test that searching for Next.js in the combobox and selecting it updates the button text.
        ","1191","test_combobox_search_and_select_nextjs[chromium]","tests","2026-08-05","passed","2026-08-05","TestDropdownPage","test_dropdown_page","",""
"
        Test that the heading and description text are correct and visible.
        ","1454","test_page_content_is_correct[chromium]","tests","2026-08-05","passed","2026-08-05","TestBrokenImagesPage","test_broken_images_page","",""
"
        Test that the JavaScript Alerts heading is visible.
        ","1417","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that dragging the item from column D back to column A works.
        ","1498","test_drag_item_from_d_to_a[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"Verify that the large resource status banner appears after loading.","30577","test_large_resource_banner_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestSlowResourcesPage","test_slow_resources_page","",""
"
        Test that the page heading is visible.
        ","18","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestHorizontalSliderPage","test_horizontal_slider_page","",""
"
        Test that only one A/B version card is visible at a time - never both simultaneously.
        ","1350","test_only_one_ab_version_is_displayed_at_a_time[chromium]","tests","2026-08-05","passed","2026-08-05","TestABTestingPage","test_ab_testing_page","",""
"
        Test that the Gallery tab may or may not be present on page load.
        The test passes regardless of whether the tab is present or not.
        ","1897","test_gallery_tab_may_be_present[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that the downloaded file contains the expected text.
        ","867","test_download_file_content[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileDownloadPage","test_file_download_page","",""
"Test removing a single element removes only that button.","2014","test_remove_single_element[chromium]","tests","2026-08-05","passed","2026-08-05","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
"
        Test that the Disappearing Elements heading is visible.
        ","895","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that the modal has a title.
        ","2362","test_modal_has_title[chromium]","tests","2026-08-05","passed","2026-08-05","TestEntryAdPage","test_entry_ad_page","",""
"
        Test that dragging the item from column A to column B works.
        ","1400","test_drag_item_to_column_b[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that clicking Start in Example 1 reveals the hidden content.
        ","1366","test_example1_content_becomes_visible_after_start[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicLoadingPage","test_dynamic_loading_page","",""
"
        Test that setting the range slider minimum thumb updates the displayed values.
        ","1624","test_set_range_slider_min[chromium]","tests","2026-08-05","passed","2026-08-05","TestHorizontalSliderPage","test_horizontal_slider_page","",""
"
        Test that left-clicking outside the menu dismisses the context menu.
        ","2424","test_left_click_dismisses_context_menu[chromium]","tests","2026-08-05","passed","2026-08-05","TestContextMenuPage","test_context_menu_page","",""
"
        Test that the success message displays the expected text.
        ","819","test_success_message_has_correct_text[chromium]","tests","2026-08-05","passed","2026-08-05","TestStaleElementPage","test_stale_element_page","",""
