"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that pressing a standard key (A) displays the correct result.
        ","1831","test_send_standard_key[chromium]","tests","2026-08-07","passed","2026-08-07","TestKeyPressesPage","test_key_presses_page","",""
"
        Test that the Home tab is always present.
        ","1377","test_home_tab_always_present[chromium]","tests","2026-08-07","passed","2026-08-07","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that the Context Menu heading is visible.
        ","5478","test_page_heading_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestContextMenuPage","test_context_menu_page","",""
"
        Test that all rows can be deleted from the table one by one.
        ","2061","test_delete_all_rows[chromium]","tests","2026-08-07","passed","2026-08-07","TestChallengingDomPage","test_challenging_dom_page","",""
"
        Test that clicking JS Prompt and dismissing it shows the null message.
        ","1344","test_handle_js_prompt_dismiss[chromium]","tests","2026-08-07","passed","2026-08-07","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that the hot-spot area is visible.
        ","1426","test_hotspot_area_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestContextMenuPage","test_context_menu_page","",""
"
        Test that the JavaScript Alerts heading is visible.
        ","1383","test_page_heading_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that selecting a vegetable from the simple dropdown updates the confirmation text.
        ","937","test_simple_dropdown_select_vegetable[chromium]","tests","2026-08-07","passed","2026-08-07","TestDropdownPage","test_dropdown_page","",""
"
        Test that content items are visible on the page.
        ","810","test_content_items_are_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that clicking Where am I? displays latitude and longitude values.
        ","1857","test_get_location_displays_coordinates[chromium]","tests","2026-08-07","passed","2026-08-07","TestGeolocationPage","test_geolocation_page","",""
"
        Test that the terms checkbox can be checked.
        ","1948","test_terms_checkbox_can_be_checked[chromium]","tests","2026-08-07","passed","2026-08-07","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that clicking Enable enables the text input.
        ","838","test_enable_text_input[chromium]","tests","2026-08-07","passed","2026-08-07","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that the working image loads successfully.
        ","1696","test_working_image_loads_successfully[chromium]","tests","2026-08-07","passed","2026-08-07","TestBrokenImagesPage","test_broken_images_page","",""
"
        Test that the downloaded file contains the expected text.
        ","2861","test_download_file_content[chromium]","tests","2026-08-07","passed","2026-08-07","TestFileDownloadPage","test_file_download_page","",""
"
        Test that the stale button is visible on the page.
        ","903","test_stale_button_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestStaleElementPage","test_stale_element_page","",""
"
        Test that the original page remains active after closing the new window.
        ","1964","test_original_page_still_active_after_closing_new_window[chromium]","tests","2026-08-07","passed","2026-08-07","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that all images (working and broken) are present in the DOM.
        ","801","test_all_images_are_present_in_dom[chromium]","tests","2026-08-07","passed","2026-08-07","TestBrokenImagesPage","test_broken_images_page","",""
"Test that adding elements works after deleting all.","6255","test_add_after_removing_all[chromium]","tests","2026-08-07","passed","2026-08-07","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
"
        Test that dragging the item from column C back to column A works.
        ","1497","test_drag_item_from_c_to_a[chromium]","tests","2026-08-07","passed","2026-08-07","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that the Hovers heading is visible.
        ","1403","test_page_heading_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestHoversPage","test_hovers_page","",""
"
        Test that selecting Banana from the simple dropdown updates the confirmation text.
        ","5032","test_simple_dropdown_select_banana[chromium]","tests","2026-08-07","passed","2026-08-07","TestDropdownPage","test_dropdown_page","",""
"
        Test that the three challenge buttons are present, visible, and clickable.
        ","977","test_buttons_are_present_and_interactable[chromium]","tests","2026-08-07","passed","2026-08-07","TestChallengingDomPage","test_challenging_dom_page","",""
"
        Test that clicking the stale button shows the success message.

        Playwright auto-retries actions on stale element references,
        so it should succeed despite the 150ms re-render interval.
        ","831","test_click_stale_button_shows_success_message[chromium]","tests","2026-08-07","passed","2026-08-07","TestStaleElementPage","test_stale_element_page","",""
