"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Dynamic Content","7","0","","0"
"0","","0","Redirect Link","5","0","","0"
"0","","0","File Upload","5","0","","0"
"0","","0","Dynamic Loading","7","0","","0"
"0","","0","Multiple Windows","12","0","","0"
"0","","0","Add/Remove Elements","8","0","","0"
"0","","0","Drag and Drop","11","0","","0"
"0","","0","Dropdown","8","0","","0"
"0","","0","Disappearing Elements","9","0","","0"
"0","","0","Entry Ad","5","0","","0"
"0","","0","Dynamic Controls","7","0","","0"
"0","","0","Slow Resources","3","0","","0"
"0","","0","Hovers","5","0","","0"
"0","","0","File Download","5","0","","0"
"0","","0","Stale Element","6","0","","0"
"0","","0","Inputs","5","0","","0"
"0","","0","Menus","12","0","","0"
"0","","0","Challenging DOM","4","0","","0"
"0","","0","Checkboxes","8","0","","0"
"0","","0","JavaScript Alerts","7","0","","0"
"0","","0","Notification Messages","7","0","","0"
"0","","0","Exit Intent","5","0","","0"
"0","","0","iFrame","6","0","","0"
"0","","0","Secure File Download","6","0","","0"
"0","","0","Broken Images","5","0","","0"
"0","","0","Geolocation","4","0","","0"
"0","","0","Horizontal Slider","7","0","","0"
"0","","0","Infinite Scroll","6","0","","0"
"0","","0","Key Presses","5","0","","0"
"0","","0","Context Menu","5","0","","0"
"0","","0","Floating Menu","5","0","","0"
"0","","0","JavaScript onload event error","4","0","","0"
"0","","0","A/B Testing","5","0","","0"
"0","","0","Basic Auth","1","0","","0"
