"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that dragging the item from column A to column B works.
        ","2415","test_drag_item_to_column_b[chromium]","tests","2026-08-07","passed","2026-08-07","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that the new window description text is visible.
        ","1907","test_new_window_description_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that the three challenge buttons are present, visible, and clickable.
        ","1497","test_buttons_are_present_and_interactable[chromium]","tests","2026-08-07","passed","2026-08-07","TestChallengingDomPage","test_challenging_dom_page","",""
"
        Test that the page heading is visible.
        ","13","test_page_heading_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that the stale button is visible on the page.
        ","1379","test_stale_button_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestStaleElementPage","test_stale_element_page","",""
"
        Test that the floating menu reappears when scrolling back up.
        ","1781","test_menu_reappears_on_scroll_up[chromium]","tests","2026-08-07","passed","2026-08-07","TestFloatingMenuPage","test_floating_menu_page","",""
"
        Test that content items are visible on the page.
        ","803","test_content_items_are_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that clicking the stale button shows the success message.

        Playwright auto-retries actions on stale element references,
        so it should succeed despite the 150ms re-render interval.
        ","832","test_click_stale_button_shows_success_message[chromium]","tests","2026-08-07","passed","2026-08-07","TestStaleElementPage","test_stale_element_page","",""
"
        Test that broken images fail to load (naturalWidth == 0).
        ","1876","test_broken_images_fail_to_load[chromium]","tests","2026-08-07","passed","2026-08-07","TestBrokenImagesPage","test_broken_images_page","",""
"
        Test that unchecking an individual item unchecks Select All.
        ","1422","test_unchecking_item_unchecks_select_all[chromium]","tests","2026-08-07","passed","2026-08-07","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that clicking the Home tab shows the Home content.
        ","1351","test_click_home_tab_shows_content[chromium]","tests","2026-08-07","passed","2026-08-07","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that the range slider displays the default values.
        ","916","test_range_slider_default_values[chromium]","tests","2026-08-07","passed","2026-08-07","TestHorizontalSliderPage","test_horizontal_slider_page","",""
"
        Test that the modal has body text.
        ","2367","test_modal_has_body_text[chromium]","tests","2026-08-07","passed","2026-08-07","TestEntryAdPage","test_entry_ad_page","",""
"
        Test that the success message displays the expected text.
        ","851","test_success_message_has_correct_text[chromium]","tests","2026-08-07","passed","2026-08-07","TestStaleElementPage","test_stale_element_page","",""
"
        Test that a checkbox can be toggled from unchecked to checked and back.
        ","1468","test_toggle_checkbox[chromium]","tests","2026-08-07","passed","2026-08-07","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that the Dynamic Content heading is visible.
        ","897","test_page_heading_is_visible[chromium]","tests","2026-08-07","passed","2026-08-07","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that multiple new windows can be opened simultaneously.
        ","4065","test_multiple_new_windows_can_be_opened[chromium]","tests","2026-08-07","passed","2026-08-07","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that dragging the item from column A to column C works.
        ","1898","test_drag_item_to_column_c[chromium]","tests","2026-08-07","passed","2026-08-07","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that selecting Banana from the simple dropdown updates the confirmation text.
        ","1977","test_simple_dropdown_select_banana[chromium]","tests","2026-08-07","passed","2026-08-07","TestDropdownPage","test_dropdown_page","",""
